time,wx (rad/s),wy (rad/s),wz (rad/s)
0.967,-0.00,-0.00,-0.00
0.968,0.00,-0.00,-0.00
0.970,0.00,0.00,-0.00
0.973,0.00,-0.00,0.00
0.976,-0.00,0.00,-0.00
0.978,-0.00,0.00,-0.00
0.980,0.00,0.00,-0.00
0.983,-0.00,0.00,-0.00
0.985,-0.00,0.00,-0.00
0.988,-0.00,0.00,-0.00
0.990,0.00,0.00,-0.00
0.993,0.00,0.00,-0.00
0.996,-0.00,0.00,-0.00
0.999,-0.00,-0.00,-0.00
1.000,0.00,0.00,-0.00
1.003,0.00,0.00,-0.00
1.005,0.00,-0.00,0.00
1.008,0.00,0.00,0.00
1.013,0.00,0.00,-0.00
1.013,-0.00,-0.00,-0.00
1.016,0.00,0.00,-0.00
1.018,-0.00,0.00,0.00
1.021,0.00,0.00,0.00
1.023,0.00,0.00,0.00
1.026,0.00,0.00,0.00
1.028,0.00,0.00,0.00
1.031,0.00,0.00,-0.00
1.034,0.00,-0.00,-0.00
1.036,-0.00,0.00,0.00
1.038,-0.00,0.00,0.00
1.041,0.00,0.00,0.00
1.043,0.00,0.00,-0.00
1.046,0.00,0.00,-0.00
1.048,-0.00,0.00,-0.00
1.051,0.00,0.00,-0.00
1.054,-0.00,0.00,0.00
1.056,-0.00,0.00,0.00
1.059,-0.00,-0.00,0.00
1.061,0.00,0.00,0.00
1.063,0.00,0.00,-0.00
1.066,-0.00,0.00,0.00
1.068,0.00,0.00,0.00
1.071,0.00,0.00,-0.00
1.074,0.00,-0.00,-0.00
1.077,0.00,-0.00,0.00
1.079,0.00,0.00,0.00
1.081,0.00,-0.00,0.00
1.084,-0.00,0.00,-0.00
1.090,0.00,0.00,0.00
1.091,0.00,0.00,0.00
1.091,0.00,0.00,0.00
1.094,-0.00,0.00,0.00
1.096,0.00,-0.00,0.00
1.101,0.00,0.00,-0.00
1.102,0.00,-0.00,-0.00
1.104,-0.00,0.00,0.00
1.107,-0.00,0.00,0.00
1.111,0.00,-0.00,0.00
1.111,0.00,0.00,0.00
1.114,0.00,0.00,0.00
1.116,-0.00,0.00,-0.00
1.119,-0.00,0.00,0.00
1.121,0.00,-0.00,0.00
1.124,0.00,-0.00,-0.00
1.126,0.00,-0.00,0.00
1.129,0.00,0.00,0.00
1.132,-0.00,-0.00,0.00
1.134,0.00,0.00,-0.00
1.138,-0.00,-0.00,-0.00
1.139,-0.00,0.00,-0.00
1.142,-0.00,0.00,0.00
1.146,-0.00,0.00,-0.00
1.147,0.00,-0.00,-0.00
1.149,0.00,-0.00,-0.00
1.152,0.00,0.00,-0.00
1.155,-0.00,0.00,-0.00
1.157,-0.00,-0.00,0.00
1.159,0.00,-0.00,-0.00
1.162,-0.00,0.00,0.00
1.165,-0.00,0.00,0.00
1.167,-0.00,-0.00,-0.00
1.170,-0.00,0.00,0.00
1.172,0.00,-0.00,-0.00
1.175,0.00,-0.00,-0.00
1.177,0.00,0.00,-0.00
1.179,0.00,-0.00,-0.00
1.182,-0.00,-0.00,-0.00
1.185,-0.00,0.00,0.00
1.187,-0.00,0.00,-0.00
1.190,0.00,0.00,0.00
1.192,0.00,-0.00,-0.00
1.195,0.00,0.00,-0.00
1.197,0.00,-0.00,0.00
1.200,0.00,0.00,-0.00
1.202,0.00,0.00,0.00
1.205,0.00,0.00,-0.00
1.207,0.00,0.00,-0.00
1.212,-0.00,0.00,-0.00
1.214,-0.00,0.00,-0.00
1.215,-0.00,-0.00,-0.00
1.217,0.00,-0.00,-0.00
1.223,0.00,-0.00,0.00
1.223,0.00,0.00,-0.00
1.225,0.00,-0.00,-0.00
1.227,-0.00,-0.00,-0.00
1.230,0.00,-0.00,0.00
1.232,-0.00,0.00,0.00
1.235,-0.00,-0.00,-0.00
1.238,0.00,0.00,0.00
1.240,0.00,0.00,-0.00
1.243,0.00,-0.00,0.00
1.245,0.00,-0.00,0.00
1.248,-0.00,0.00,0.00
1.250,0.00,0.00,0.00
1.253,0.00,0.00,0.00
1.255,-0.00,0.00,0.00
1.258,0.00,-0.00,0.00
1.260,-0.00,-0.00,0.00
1.263,0.00,-0.00,0.00
1.265,0.00,0.00,0.00
1.268,0.00,-0.00,0.00
1.270,0.00,0.00,-0.00
1.273,-0.00,0.00,0.00
1.276,-0.00,-0.00,0.00
1.278,0.00,0.00,-0.00
1.280,0.00,-0.00,-0.00
1.283,0.00,0.00,-0.00
1.285,0.00,0.00,-0.00
1.288,0.00,0.00,0.00
1.291,0.00,-0.00,0.00
1.293,0.00,-0.00,0.00
1.296,-0.00,-0.00,-0.00
1.298,-0.00,0.00,-0.00
1.300,0.00,0.00,-0.00
1.303,0.00,0.00,-0.00
1.305,0.00,-0.00,-0.00
1.308,0.00,0.00,0.00
1.311,0.00,0.00,-0.00
1.313,0.00,-0.00,0.00
1.315,0.00,-0.00,0.00
1.318,0.00,-0.00,0.00
1.321,0.00,0.00,0.00
1.323,0.00,-0.00,0.00
1.326,0.00,-0.00,0.00
1.328,-0.00,-0.00,0.00
1.332,0.00,-0.00,0.00
1.333,0.00,-0.00,0.00
1.336,0.00,-0.00,0.00
1.338,0.00,-0.00,-0.00
1.341,0.00,0.00,-0.00
1.343,0.00,0.00,-0.00
1.346,0.00,-0.00,-0.00
1.349,0.00,0.00,0.00
1.351,-0.00,0.00,0.00
1.356,-0.00,0.00,-0.00
1.359,0.00,0.00,0.00
1.359,0.00,-0.00,0.00
1.361,0.00,0.00,0.00
1.363,-0.00,-0.00,0.00
1.368,0.00,0.00,0.00
1.369,0.00,-0.00,0.00
1.376,0.00,-0.00,0.00
1.376,0.00,0.00,-0.00
1.376,-0.00,0.00,-0.00
1.379,0.00,0.00,-0.00
1.381,0.00,0.00,0.00
1.383,0.00,-0.00,0.00
1.389,0.00,-0.00,0.00
1.392,0.00,-0.00,0.00
1.392,0.00,0.00,0.00
1.394,0.00,-0.00,-0.00
1.396,-0.00,0.00,0.00
1.399,0.00,-0.00,0.00
1.402,0.00,-0.00,0.00
1.404,0.00,0.00,-0.00
1.406,-0.00,0.00,-0.00
1.409,0.00,0.00,-0.00
1.411,-0.00,-0.00,0.00
1.414,0.00,-0.00,0.00
1.416,0.00,-0.00,0.00
1.419,0.00,0.00,0.00
1.422,0.00,0.00,-0.00
1.424,0.00,-0.00,-0.00
1.427,0.00,-0.00,0.00
1.429,0.00,0.00,0.00
1.432,0.00,0.00,0.00
1.434,-0.00,0.00,-0.00
1.437,0.00,-0.00,0.00
1.439,0.00,-0.00,0.00
1.442,-0.00,-0.00,0.00
1.444,0.00,0.00,0.00
1.447,0.00,-0.00,-0.00
1.449,-0.00,-0.00,-0.00
1.452,-0.00,0.00,-0.00
1.454,0.00,-0.00,0.00
1.457,0.00,0.00,0.00
1.460,0.00,0.00,0.00
1.462,0.00,0.00,-0.00
1.465,-0.00,0.00,-0.00
1.467,0.00,0.00,-0.00
1.470,-0.00,-0.00,0.00
1.472,0.00,-0.00,-0.00
1.475,0.00,-0.00,0.00
1.477,0.00,0.00,0.00
1.480,-0.00,-0.00,-0.00
1.483,-0.00,-0.00,-0.00
1.485,0.00,-0.00,-0.00
1.490,-0.00,0.00,-0.00
1.490,-0.00,-0.00,-0.00
1.492,-0.00,-0.00,-0.00
1.495,0.00,-0.00,-0.00
1.497,-0.00,0.00,0.00
1.500,0.00,0.00,0.00
1.502,0.00,0.00,-0.00
1.505,0.00,0.00,-0.00
1.507,0.00,-0.00,0.00
1.510,0.00,-0.00,0.00
1.512,0.00,-0.00,-0.00
1.515,-0.00,-0.00,-0.00
1.518,0.00,-0.00,-0.00
1.521,-0.00,-0.00,0.00
1.523,0.00,0.00,0.00
1.525,-0.00,0.00,-0.00
1.527,-0.00,0.00,0.00
1.530,0.00,0.00,-0.00
1.533,0.00,-0.00,-0.00
1.535,0.00,0.00,-0.00
1.537,0.00,0.00,-0.00
